cif_name,name,Di,Df,Dif,rho,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV_x,PONAV,POAV_y
MOF_net-vbv_node1-N38_edge1-none,MOF_net-vbv_node1-N38_edge1-none.cif,8.5464,3.79288,8.14364,1.45078,570.27,393.077,0.3492,0.240698107,0.168,0.1812,0.115799,0.124898,0.115799,1485.26,
MOF_net-vby_node1-N16_edge1-none,MOF_net-vby_node1-N16_edge1-none.cif,5.56576,4.02066,4.57347,1.16289,397.301,341.65,0.2491,0.214207707,0.1052,0.1439,0.0904643,0.123743,0.0904643,1147.51,
MOF_net-vby_node1-N17_edge1-none,MOF_net-vby_node1-N17_edge1-none.cif,5.71175,4.05209,4.70736,1.12604,424.226,376.741,0.288,0.255763561,0.1236,0.1644,0.109765,0.145998,0.109765,1346.12,
MOF_net-vby_node1-N36_edge1-none,MOF_net-vby_node1-N36_edge1-none.cif,5.41068,3.91536,4.41032,1.26939,252.901,199.23,0.2279,0.179535052,0.0654,0.1625,0.0515207,0.128014,0.0515207,1242.7,
MOF_net-vby_node1-N58_edge1-none,MOF_net-vby_node1-N58_edge1-none.cif,5.81496,3.77466,4.77179,1.2179,386.205,317.106,0.2727,0.223910009,0.1055,0.1672,0.0866242,0.137285,0.0866242,1326.11,
MOF_net-vcc_node1-N39_edge1-none,MOF_net-vcc_node1-N39_edge1-none.cif,6.56926,4.62802,5.09548,1.17461,1232.31,1049.12,0.2796,0.238036455,0.2759,0.0037,0.234886,0.00314998,0.234886,71.6465,
MOF_net-vck_node1-N32_edge1-none,MOF_net-vck_node1-N32_edge1-none.cif,6.01317,4.46184,5.82224,1.10012,1538.84,1398.79,0.3956,0.359597135,0.3956,0.0,0.359596,0.0,0.359596,0.0,
MOF_net-vda_node1-N81_edge1-none,MOF_net-vda_node1-N81_edge1-none.cif,5.67821,4.13336,5.67821,1.83053,421.231,230.114,0.1769,0.096638678,0.0955,0.0814,0.0521707,0.044468,0.0521707,1279.78,
MOF_net-wfx_node1-N32_edge1-none,MOF_net-wfx_node1-N32_edge1-none.cif,7.18283,4.69345,7.15777,1.13743,1510.32,1327.83,0.3988,0.350614983,0.3988,0.0,0.350614,0.0,0.350614,0.0,
MOF_net-wfy_node1-N32_edge1-none,MOF_net-wfy_node1-N32_edge1-none.cif,6.75092,3.80721,6.75092,1.15027,1434.59,1247.18,0.3738,0.324967182,0.3738,0.0,0.324967,0.0,0.324967,0.0,
MOF_net-wgp_node1-N0_edge1-none,MOF_net-wgp_node1-N0_edge1-none.cif,6.24817,5.86168,6.2481,1.07328,1627.27,1516.17,0.3764,0.350700656,0.3764,0.0,0.350702,0.0,0.350702,0.0,
MOF_net-wgp_node1-N86_edge1-none,MOF_net-wgp_node1-N86_edge1-none.cif,6.02631,4.81494,6.01447,1.06503,1241.28,1165.5,0.299,0.280743265,0.299,0.0,0.280744,0.0,0.280744,0.0,
MOF_net-whj_node1-N38_edge1-none,MOF_net-whj_node1-N38_edge1-none.cif,8.90652,3.90235,8.76433,1.49823,1129.03,753.577,0.3234,0.215854709,0.3234,0.0,0.215855,0.0,0.215855,0.0,
MOF_net-whk_node1-N49_edge1-none,MOF_net-whk_node1-N49_edge1-none.cif,7.01605,3.82018,7.01605,1.43993,862.384,598.906,0.2494,0.173202864,0.2494,0.0,0.173203,0.0,0.173203,0.0,
MOF_net-whk_node1-N61_edge1-none,MOF_net-whk_node1-N61_edge1-none.cif,10.07656,3.94871,9.91981,1.28135,1180.59,921.367,0.3808,0.297186561,0.3808,0.0,0.297186,0.0,0.297186,0.0,
MOF_net-whr_node1-N38_edge1-none,MOF_net-whr_node1-N38_edge1-none.cif,6.77257,5.08668,6.77257,1.54217,1116.1,723.719,0.2777,0.180070939,0.2733,0.0044,0.177217,0.00285312,0.177217,33.9287,
MOF_net-wht_node1-N38_edge1-none,MOF_net-wht_node1-N38_edge1-none.cif,5.49196,3.75913,5.49196,1.5199,1124.08,739.572,0.3496,0.230015133,0.3496,0.0,0.230015,0.0,0.230015,0.0,
MOF_net-whz_node1-N39_edge1-none,MOF_net-whz_node1-N39_edge1-none.cif,6.79941,4.72272,6.7991,1.15644,1310.42,1133.14,0.3426,0.296254021,0.3149,0.0277,0.2723,0.0239528,0.2723,272.404,
MOF_net-wio_node1-N13_edge1-none,MOF_net-wio_node1-N13_edge1-none.cif,6.59311,4.59869,6.59303,2.03716,1321.88,648.884,0.3178,0.156001492,0.3178,0.0,0.156002,0.0,0.156002,0.0,
MOF_net-wir_node1-N28_edge1-none,MOF_net-wir_node1-N28_edge1-none.cif,7.00311,3.90083,6.99743,0.967747,1820.17,1880.84,0.3604,0.372411384,0.3505,0.0099,0.362181,0.0102299,0.362181,251.685,
MOF_net-wir_node1-N39_edge1-none,MOF_net-wir_node1-N39_edge1-none.cif,6.59985,4.8872,6.59985,1.11569,1332.94,1194.72,0.2799,0.250876139,0.2799,0.0,0.250876,0.0,0.250876,0.0,
MOF_net-wiv_node1-N44_edge1-E3,MOF_net-wiv_node1-N44_edge1-E3.cif,6.77017,4.81244,6.5733,1.28241,1145.49,893.234,0.2357,0.183794574,0.2308,0.0049,0.179973,0.00382093,0.179973,133.948,
MOF_net-wjd_node1-N45_edge1-none,MOF_net-wjd_node1-N45_edge1-none.cif,7.24955,4.0966,6.15485,2.01721,808.575,400.839,0.2182,0.108169204,0.2182,0.0,0.108169,0.0,0.108169,0.0,
MOF_net-wjd_node1-N47_edge1-none,MOF_net-wjd_node1-N47_edge1-none.cif,7.32523,4.14088,6.16006,1.96672,823.003,418.465,0.2227,0.113234217,0.2227,0.0,0.113234,0.0,0.113234,0.0,
MOF_net-wjd_node1-N49_edge1-none,MOF_net-wjd_node1-N49_edge1-none.cif,9.34994,3.89734,7.7913,1.44576,931.453,644.267,0.3263,0.225694444,0.318,0.0083,0.219954,0.00574094,0.219954,38.5481,
MOF_net-wjv_node1-N86_edge1-none,MOF_net-wjv_node1-N86_edge1-none.cif,5.92965,3.82145,4.65133,0.984691,542.709,551.146,0.2035,0.206663816,0.1221,0.0814,0.123998,0.0826655,0.123998,591.664,
MOF_net-wkf_node1-N20_edge1-none,MOF_net-wkf_node1-N20_edge1-none.cif,6.04315,5.20603,6.04315,2.07568,863.139,415.835,0.2646,0.127476297,0.2462,0.0184,0.118612,0.00886458,0.118612,102.787,
MOF_net-wmc_node1-N28_edge1-none,MOF_net-wmc_node1-N28_edge1-none.cif,4.77182,4.31482,4.77127,1.40417,634.908,452.159,0.1481,0.10547156,0.1481,0.0,0.105472,0.0,0.105472,0.0,
MOF_net-wme_node1-N12_edge1-none,MOF_net-wme_node1-N12_edge1-none.cif,7.95858,5.49033,7.53664,1.32339,1773.55,1340.16,0.4565,0.344947446,0.4565,0.0,0.344947,0.0,0.344947,0.0,
MOF_net-wme_node1-N30_edge1-none,MOF_net-wme_node1-N30_edge1-none.cif,13.1933,3.82802,12.83337,1.19134,1268.0,1064.34,0.4961,0.416421844,0.4639,0.0322,0.389392,0.0270283,0.389392,379.552,
MOF_net-wme_node1-N43_edge1-none,MOF_net-wme_node1-N43_edge1-none.cif,7.41366,4.10618,5.9776,2.05576,729.267,354.742,0.1904,0.092617815,0.1904,0.0,0.0926176,0.0,0.0926176,0.0,
MOF_net-wme_node1-N58_edge1-none,MOF_net-wme_node1-N58_edge1-none.cif,8.07891,5.2864,7.88083,1.22058,1789.35,1465.98,0.4733,0.387766472,0.4733,0.0,0.387765,0.0,0.387765,0.0,
MOF_net-wmi_node1-N15_edge1-none,MOF_net-wmi_node1-N15_edge1-none.cif,8.46256,5.35188,8.46256,1.16118,1462.15,1259.19,0.4362,0.375652354,0.4053,0.0309,0.349041,0.0266108,0.349041,570.271,
MOF_net-wmi_node1-N17_edge1-none,MOF_net-wmi_node1-N17_edge1-none.cif,8.87999,5.2316,8.87946,1.06986,1457.13,1361.98,0.4469,0.417718206,0.4047,0.0422,0.378273,0.0394443,0.378273,818.284,
MOF_net-wmi_node1-N33_edge1-none,MOF_net-wmi_node1-N33_edge1-none.cif,9.19026,5.00497,9.18962,1.15812,1439.99,1243.39,0.4405,0.380357821,0.3983,0.0422,0.343919,0.0364383,0.343919,784.368,
MOF_net-wmi_node1-N36_edge1-none,MOF_net-wmi_node1-N36_edge1-none.cif,8.51552,5.20976,8.50936,1.20814,1469.19,1216.08,0.4326,0.358071084,0.4031,0.0295,0.333655,0.0244178,0.333655,533.331,
MOF_net-wna_node1-N12_edge1-none,MOF_net-wna_node1-N12_edge1-none.cif,8.22151,6.83409,8.19302,1.26047,1798.22,1426.62,0.4235,0.335985783,0.4235,0.0,0.335986,0.0,0.335986,0.0,
MOF_net-wna_node1-N13_edge1-none,MOF_net-wna_node1-N13_edge1-none.cif,6.89859,4.11663,6.61411,2.14494,946.317,441.185,0.2262,0.105457495,0.2262,0.0,0.105457,0.0,0.105457,0.0,
