cif_name,name,Di,Df,Dif,rho,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV
MOF_net-bcu_node1-N31_edge1-none,MOF_net-bcu_node1-N31_edge1-none.cif,2.78839,2.27482,2.78839,2.15887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-bcu_node1-N5_edge1-none,MOF_net-bcu_node1-N5_edge1-none.cif,2.76425,1.2739,2.76425,2.05647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-bcu_node1-N76_edge1-none,MOF_net-bcu_node1-N76_edge1-none.cif,3.43187,1.25059,3.42831,1.76934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-bcu_node1-N77_edge1-none,MOF_net-bcu_node1-N77_edge1-none.cif,3.68267,0.9641,3.67809,1.76374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-bsn_node1-N39_edge1-none,MOF_net-bsn_node1-N39_edge1-none.cif,4.05615,3.37635,3.88719,1.41029,0.0,0.0,0.0939,0.066582051,0.0,0.0939,0.0,0.0665819,0.0,189.301
MOF_net-bsn_node1-N69_edge1-none,MOF_net-bsn_node1-N69_edge1-none.cif,3.54959,2.64234,3.2105,1.88445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-cdl_node1-N57_edge1-none,MOF_net-cdl_node1-N57_edge1-none.cif,4.37909,3.08083,4.36134,1.78422,0.0,0.0,0.2236,0.125320869,0.0,0.2236,0.0,0.125321,0.0,255.394
MOF_net-crs_node1-N45_edge1-none,MOF_net-crs_node1-N45_edge1-none.cif,5.14615,3.41227,5.13892,1.73699,0.0,0.0,0.0691,0.039781461,0.0,0.0691,0.0,0.0397816,0.0,1156.84
MOF_net-ctn_node1-N42_node2-orgN8_edge1-none,MOF_net-ctn_node1-N42_node2-orgN8_edge1-none.cif,5.73766,2.93278,5.26891,1.65195,0.0,0.0,0.0547,0.033112382,0.0,0.0547,0.0,0.0331123,0.0,392.108
MOF_net-dag_node1-N52_node2-orgN8_edge1-none,MOF_net-dag_node1-N52_node2-orgN8_edge1-none.cif,4.08172,2.95632,4.08172,1.62577,0.0,0.0,0.0136,0.008365267,0.0,0.0136,0.0,0.00836527,0.0,36.2524
